date,product_name,units_sold,day_of_week,region,product_category
2023-01-14,Santa Hat,112,Saturday,North,Apparel
2023-01-14,Traditional Dhoti,124,Saturday,East,Clothing
2023-01-15,Sunscreen,106,Sunday,East,Personal Care
2023-01-15,Agarbatti (Incense),101,Sunday,North,Spiritual Item
2023-01-15,Raincoat,85,Sunday,South,Rain Gear
2023-01-16,Electric Lights,69,Monday,East,Home Decor
2023-01-16,Onam Sadya Kit,29,Monday,Central,Food Combo
2023-01-17,Modak Box,91,Tuesday,East,Sweets
2023-01-18,Gift Box,119,Wednesday,North,Gifting
2023-01-18,Deodorant (Dio),153,Wednesday,West,Personal Care
2023-01-18,Air Conditioner (AC),90,Wednesday,West,Home Appliance
2023-01-19,Dry Fruits,95,Thursday,East,Gifting
2023-01-19,Banana Chips Pack,124,Thursday,Central,Snack
2023-01-20,Brass Pot,102,Friday,East,Festival Utility
2023-01-21,Water Bottle,89,Saturday,West,Kitchen Utility
2023-01-22,Santa Hat,124,Sunday,South,Apparel
2023-01-22,White Clothing,93,Sunday,East,Clothing
2023-01-23,Perfume Bottles,50,Monday,South,Gifting
2023-01-24,Chocolate Box,105,Tuesday,South,Gifting/Sweets
2023-01-24,Hot Water Bag,80,Tuesday,South,Healthcare
2023-01-24,Fan,103,Tuesday,North,Home Appliance
2023-01-25,Air Conditioner (AC),87,Wednesday,North,Home Appliance
2023-01-25,Water Gun (Pichkari),131,Wednesday,Central,Toys/Festival
2023-01-26,Banana Chips Pack,131,Thursday,South,Snack
2023-01-26,Lip Balm,75,Thursday,East,Personal Care
2023-01-26,Pongal Sweet Pack,128,Thursday,Central,Sweets
2023-01-26,Mosquito Net,67,Thursday,South,Home Utility
2023-01-27,Rangoli Colors,130,Friday,South,Festival Utility
2023-01-29,Pongal Sweet Pack,131,Sunday,North,Sweets
2023-01-29,Water Gun (Pichkari),98,Sunday,South,Toys/Festival
2023-01-29,Flower Garland,120,Sunday,North,Festival Utility
2023-01-29,Mithai Box,93,Sunday,Central,Sweets
2023-01-29,Pongal Sweet Pack,95,Sunday,North,Sweets
2023-01-30,Sweet Box,82,Monday,South,Sweets
2023-01-31,Scarf,101,Tuesday,East,Clothing
2023-02-01,Brass Pot,101,Wednesday,West,Festival Utility
2023-02-01,Brass Pot,119,Wednesday,South,Festival Utility
2023-02-01,LED String Lights,91,Wednesday,Central,Home Decor
2023-02-02,Lip Balm,123,Thursday,East,Personal Care
2023-02-02,LED String Lights,52,Thursday,East,Home Decor
2023-02-03,Holi Colors,141,Friday,South,Festival Utility
2023-02-03,Dry Fruits Box,148,Friday,West,Gifting
2023-02-03,Chocolate Gift Boxes,99,Friday,South,Gifting
2023-02-04,Chocolate Box,72,Saturday,North,Gifting/Sweets
2023-02-04,Mithai Box,108,Saturday,West,Sweets
2023-02-04,Decorative Wreath,126,Saturday,South,Home Decor
2023-02-05,Waterproof Boots,68,Sunday,West,Footwear
2023-02-06,Fruit Cake,97,Monday,West,Food
2023-02-06,Decorative Wreath,131,Monday,East,Home Decor
2023-02-07,Gift Boxes,91,Tuesday,West,Gifting
2023-02-07,Diyas (Clay Lamps),133,Tuesday,South,Home Decor
2023-02-07,Waterproof Boots,14,Tuesday,West,Footwear
2023-02-08,Water Bottle,94,Wednesday,South,Kitchen Utility
2023-02-09,Kurta Pajama Set,97,Thursday,South,Clothing
2023-02-09,Onam Sadya Kit,119,Thursday,South,Food Combo
2023-02-09,Rangoli Colors,124,Thursday,East,Festival Utility
2023-02-09,Fan,76,Thursday,West,Home Appliance
2023-02-09,Dry Fruits,77,Thursday,Central,Gifting
2023-02-09,Water Bottle,87,Thursday,Central,Kitchen Utility
2023-02-10,Modak Box,61,Friday,North,Sweets
2023-02-11,Waterproof Boots,110,Saturday,West,Footwear
2023-02-11,Gift Wrapping Paper,37,Saturday,South,Festival Utility
2023-02-11,Odomos (mosquito repellent),170,Saturday,North,Personal Care
2023-02-11,Pongal Sweet Pack,108,Saturday,South,Sweets
2023-02-12,Ice Cream,49,Sunday,Central,Dessert
2023-02-12,Flower Garland,104,Sunday,West,Festival Utility
2023-02-12,Water Gun (Pichkari),45,Sunday,East,Toys/Festival
2023-02-13,Pongal Sweet Pack,71,Monday,South,Sweets
2023-02-13,Kurta Pajama Set,130,Monday,East,Clothing
2023-02-14,Air Conditioner (AC),62,Tuesday,North,Home Appliance
2023-02-14,Umbrella,94,Tuesday,East,Rain Gear
2023-02-14,Ganesh Idol,105,Tuesday,West,Festival Utility
2023-02-14,Agarbatti (Incense),112,Tuesday,East,Spiritual Item
2023-02-14,Waterproof Boots,150,Tuesday,North,Footwear
2023-02-15,Rakhi Thread,125,Wednesday,North,Festival Utility
2023-02-15,Decorative Wreath,83,Wednesday,West,Home Decor
2023-02-15,Decorative Wreath,100,Wednesday,Central,Home Decor
2023-02-15,Brass Pot,53,Wednesday,West,Festival Utility
2023-02-16,Fruit Cake,131,Thursday,West,Food
2023-02-16,Gift Wrapping Paper,86,Thursday,North,Festival Utility
2023-02-16,Sweet Box,47,Thursday,South,Sweets
2023-02-16,Pongal Sweet Pack,97,Thursday,South,Sweets
2023-02-16,Electric Lights,119,Thursday,North,Home Decor
2023-02-17,Raincoat,55,Friday,North,Rain Gear
2023-02-17,Gift Boxes,108,Friday,Central,Gifting
2023-02-17,White Kurtas,115,Friday,North,Clothing
2023-02-17,Traditional Dhoti,156,Friday,North,Clothing
2023-02-18,Ganesh Idol,159,Saturday,North,Festival Utility
2023-02-19,Agarbatti (Incense),111,Sunday,Central,Spiritual Item
2023-02-19,White Kurtas,84,Sunday,North,Clothing
2023-02-20,Lip Balm,141,Monday,North,Personal Care
2023-02-20,Sweater,105,Monday,East,Clothing
2023-02-22,Personal Care Kit,87,Wednesday,Central,Gifting
2023-02-22,Body Oil,139,Wednesday,North,Personal Care
2023-02-22,Cold Drink,96,Wednesday,South,Beverage
2023-02-22,Cold Drink,130,Wednesday,East,Beverage
2023-02-23,Electric Lights,129,Thursday,North,Home Decor
2023-02-23,Gift Wrapping Paper,86,Thursday,South,Festival Utility
2023-02-24,Sweet Box,87,Friday,North,Sweets
2023-02-24,Blanket,179,Friday,North,Home Utility
2023-02-25,Ganesh Idol,93,Saturday,North,Festival Utility
2023-02-25,Gift Wrapping Paper,97,Saturday,South,Festival Utility
2023-02-25,Sugarcane Stick,126,Saturday,North,Food/Festival
2023-02-26,White Kurtas,93,Sunday,Central,Clothing
2023-02-26,Umbrella,107,Sunday,North,Rain Gear
2023-02-26,Scarf,127,Sunday,East,Clothing
2023-02-28,Umbrella,85,Tuesday,Central,Rain Gear
2023-02-28,Agarbatti (Incense),133,Tuesday,South,Spiritual Item
2023-02-28,Sewaiya Packets,102,Tuesday,North,Sweets
2023-02-28,Blanket,122,Tuesday,West,Home Utility
2023-02-28,Scarf,98,Tuesday,North,Clothing
2023-03-01,Deodorant (Dio),124,Wednesday,South,Personal Care
2023-03-01,Sweet Box,152,Wednesday,North,Sweets
2023-03-01,Decorative Wreath,75,Wednesday,South,Home Decor
2023-03-01,Holi Colors,128,Wednesday,North,Festival Utility
2023-03-01,Deodorant (Dio),76,Wednesday,East,Personal Care
2023-03-02,Dry Fruits,119,Thursday,East,Gifting
2023-03-02,Holi Colors,135,Thursday,South,Festival Utility
2023-03-02,Gift Box,99,Thursday,South,Gifting
2023-03-03,White Clothing,134,Friday,East,Clothing
2023-03-04,Sweater,131,Saturday,North,Clothing
2023-03-05,Diyas (Clay Lamps),84,Sunday,West,Home Decor
2023-03-05,Sunscreen,149,Sunday,North,Personal Care
2023-03-05,Flower Garland,93,Sunday,West,Festival Utility
2023-03-05,Flower Garland,114,Sunday,South,Festival Utility
2023-03-07,Ganesh Idol,66,Tuesday,East,Festival Utility
2023-03-07,Agarbatti (Incense),97,Tuesday,Central,Spiritual Item
2023-03-08,Perfume Bottles,114,Wednesday,West,Gifting
2023-03-08,Pongal Sweet Pack,97,Wednesday,North,Sweets
2023-03-08,Fruit Cake,109,Wednesday,East,Food
2023-03-09,Personal Care Kit,57,Thursday,South,Gifting
2023-03-09,Mithai Box,77,Thursday,North,Sweets
2023-03-09,Onam Sadya Kit,95,Thursday,East,Food Combo
2023-03-10,Rangoli Colors,82,Friday,Central,Festival Utility
2023-03-10,Water Bottle,96,Friday,South,Kitchen Utility
2023-03-11,Personal Care Kit,115,Saturday,West,Gifting
2023-03-11,Perfume Bottles,96,Saturday,North,Gifting
2023-03-11,Holi Colors,94,Saturday,Central,Festival Utility
2023-03-11,Chocolate Box,55,Saturday,South,Gifting/Sweets
2023-03-11,Sweater,66,Saturday,East,Clothing
2023-03-12,Lip Balm,85,Sunday,West,Personal Care
2023-03-12,Agarbatti (Incense),77,Sunday,Central,Spiritual Item
2023-03-12,Pongal Sweet Pack,117,Sunday,West,Sweets
2023-03-13,Santa Hat,95,Monday,South,Apparel
2023-03-13,Rangoli Colors,78,Monday,Central,Festival Utility
2023-03-14,Gift Boxes,145,Tuesday,East,Gifting
2023-03-14,Blanket,91,Tuesday,South,Home Utility
2023-03-14,LED String Lights,93,Tuesday,West,Home Decor
2023-03-14,Air Conditioner (AC),48,Tuesday,North,Home Appliance
2023-03-15,Diyas (Clay Lamps),72,Wednesday,North,Home Decor
2023-03-15,Chocolate Gift Boxes,85,Wednesday,East,Gifting
2023-03-15,Waterproof Boots,95,Wednesday,South,Footwear
2023-03-15,Gift Wrapping Paper,98,Wednesday,South,Festival Utility
2023-03-16,Banana Chips Pack,183,Thursday,East,Snack
2023-03-16,Brass Pot,115,Thursday,South,Festival Utility
2023-03-16,Hot Water Bag,86,Thursday,North,Healthcare
2023-03-17,White Clothing,101,Friday,North,Clothing
2023-03-17,Odomos (mosquito repellent),137,Friday,Central,Personal Care
2023-03-17,Modak Box,110,Friday,North,Sweets
2023-03-18,Gift Boxes,47,Saturday,North,Gifting
2023-03-19,Water Gun (Pichkari),106,Sunday,Central,Toys/Festival
2023-03-19,Sweet Box,90,Sunday,East,Sweets
2023-03-20,Electric Lights,116,Monday,West,Home Decor
2023-03-20,Kurta Pajama Set,53,Monday,East,Clothing
2023-03-20,Diyas (Clay Lamps),145,Monday,South,Home Decor
2023-03-20,Deodorant (Dio),90,Monday,Central,Personal Care
2023-03-21,Brass Pot,146,Tuesday,Central,Festival Utility
2023-03-21,Sweet Box,109,Tuesday,North,Sweets
2023-03-21,Ice Cream,136,Tuesday,Central,Dessert
2023-03-22,Gift Wrapping Paper,105,Wednesday,North,Festival Utility
2023-03-22,Banana Chips Pack,86,Wednesday,North,Snack
2023-03-22,Thermals,131,Wednesday,East,Clothing
2023-03-23,Dry Fruits,89,Thursday,South,Gifting
2023-03-23,Scarf,79,Thursday,South,Clothing
2023-03-23,Flower Garland,81,Thursday,East,Festival Utility
2023-03-23,Scarf,89,Thursday,West,Clothing
2023-03-24,Cold Drink,113,Friday,East,Beverage
2023-03-24,Gift Wrapping Paper,124,Friday,South,Festival Utility
2023-03-25,Personal Care Kit,94,Saturday,West,Gifting
2023-03-25,Personal Care Kit,149,Saturday,North,Gifting
2023-03-25,Rakhi Thread,104,Saturday,Central,Festival Utility
2023-03-25,Onam Sadya Kit,94,Saturday,South,Food Combo
2023-03-25,Perfume Bottles,105,Saturday,South,Gifting
2023-03-26,Mithai Box,84,Sunday,East,Sweets
2023-03-26,Scarf,99,Sunday,Central,Clothing
2023-03-26,Umbrella,81,Sunday,South,Rain Gear
2023-03-26,Umbrella,111,Sunday,North,Rain Gear
2023-03-26,Brass Pot,33,Sunday,East,Festival Utility
2023-03-27,Air Conditioner (AC),180,Monday,West,Home Appliance
2023-03-27,Banana Chips Pack,81,Monday,South,Snack
2023-03-27,Pongal Sweet Pack,118,Monday,West,Sweets
2023-03-28,Sweet Box,102,Tuesday,South,Sweets
2023-03-28,Fruit Cake,70,Tuesday,South,Food
2023-03-28,Pongal Sweet Pack,73,Tuesday,Central,Sweets
2023-03-29,Sweater,97,Wednesday,East,Clothing
2023-03-29,Air Conditioner (AC),84,Wednesday,East,Home Appliance
2023-03-29,Mithai Box,63,Wednesday,South,Sweets
2023-03-29,Blanket,90,Wednesday,North,Home Utility
2023-03-29,Electric Lights,83,Wednesday,West,Home Decor
2023-03-30,Water Bottle,121,Thursday,West,Kitchen Utility
2023-03-30,Air Conditioner (AC),91,Thursday,West,Home Appliance
2023-03-30,Pongal Sweet Pack,148,Thursday,West,Sweets
2023-03-31,Gift Box,80,Friday,West,Gifting
2023-04-01,Raincoat,126,Saturday,North,Rain Gear
2023-04-01,Rangoli Colors,181,Saturday,South,Festival Utility
2023-04-01,Pongal Sweet Pack,81,Saturday,West,Sweets
2023-04-02,Banana Chips Pack,81,Sunday,North,Snack
2023-04-02,Cold Drink,53,Sunday,West,Beverage
2023-04-02,Water Gun (Pichkari),64,Sunday,South,Toys/Festival
2023-04-04,Chocolate Gift Boxes,106,Tuesday,West,Gifting
2023-04-04,Onam Sadya Kit,117,Tuesday,East,Food Combo
2023-04-05,Ice Cream,84,Wednesday,North,Dessert
2023-04-05,Rakhi Thread,155,Wednesday,South,Festival Utility
2023-04-05,Lip Balm,146,Wednesday,South,Personal Care
2023-04-05,Onam Sadya Kit,140,Wednesday,Central,Food Combo
2023-04-05,Kurta Pajama Set,75,Wednesday,South,Clothing
2023-04-07,Body Oil,52,Friday,East,Personal Care
2023-04-08,Ganesh Idol,114,Saturday,North,Festival Utility
2023-04-08,Deodorant (Dio),96,Saturday,North,Personal Care
2023-04-08,Thermals,47,Saturday,Central,Clothing
2023-04-08,Pongal Sweet Pack,58,Saturday,West,Sweets
2023-04-08,Waterproof Boots,99,Saturday,Central,Footwear
2023-04-09,Mosquito Net,93,Sunday,North,Home Utility
2023-04-09,Rangoli Colors,117,Sunday,East,Festival Utility
2023-04-10,Dry Fruits,113,Monday,North,Gifting
2023-04-10,White Clothing,94,Monday,West,Clothing
2023-04-10,Mosquito Net,96,Monday,North,Home Utility
2023-04-10,Onam Sadya Kit,112,Monday,West,Food Combo
2023-04-11,White Kurtas,93,Tuesday,West,Clothing
2023-04-12,Rangoli Colors,138,Wednesday,North,Festival Utility
2023-04-12,Perfume Bottles,88,Wednesday,West,Gifting
2023-04-12,Modak Box,64,Wednesday,West,Sweets
2023-04-12,Cold Drink,120,Wednesday,South,Beverage
2023-04-13,Odomos (mosquito repellent),81,Thursday,North,Personal Care
2023-04-13,Blanket,90,Thursday,North,Home Utility
2023-04-13,Traditional Dhoti,80,Thursday,North,Clothing
2023-04-13,Gift Boxes,157,Thursday,Central,Gifting
2023-04-14,Gift Box,88,Friday,East,Gifting
2023-04-14,Flower Garland,116,Friday,East,Festival Utility
2023-04-14,Water Bottle,75,Friday,Central,Kitchen Utility
2023-04-14,Ice Cream,116,Friday,Central,Dessert
2023-04-15,Santa Hat,96,Saturday,West,Apparel
2023-04-15,Decorative Wreath,116,Saturday,West,Home Decor
2023-04-16,Brass Pot,102,Sunday,West,Festival Utility
2023-04-16,Air Conditioner (AC),77,Sunday,North,Home Appliance
2023-04-17,Rangoli Colors,73,Monday,North,Festival Utility
2023-04-17,Diyas (Clay Lamps),143,Monday,East,Home Decor
2023-04-17,Odomos (mosquito repellent),100,Monday,Central,Personal Care
2023-04-17,Mithai Box,96,Monday,Central,Sweets
2023-04-18,Cold Drink,128,Tuesday,East,Beverage
2023-04-18,Raincoat,113,Tuesday,South,Rain Gear
2023-04-18,Gift Boxes,95,Tuesday,North,Gifting
2023-04-18,Dry Fruits,143,Tuesday,North,Gifting
2023-04-18,Sweater,141,Tuesday,North,Clothing
2023-04-19,Ice Cream,62,Wednesday,South,Dessert
2023-04-20,Dry Fruits Box,62,Thursday,South,Gifting
2023-04-20,Sugarcane Stick,105,Thursday,East,Food/Festival
2023-04-20,Banana Chips Pack,140,Thursday,Central,Snack
2023-04-20,Electric Lights,78,Thursday,South,Home Decor
2023-04-21,Hot Water Bag,67,Friday,West,Healthcare
2023-04-21,Waterproof Boots,92,Friday,East,Footwear
2023-04-21,Blanket,109,Friday,East,Home Utility
2023-04-21,Sweater,137,Friday,South,Clothing
2023-04-21,Gift Wrapping Paper,101,Friday,Central,Festival Utility
2023-04-22,Agarbatti (Incense),81,Saturday,North,Spiritual Item
2023-04-22,Gift Wrapping Paper,78,Saturday,Central,Festival Utility
2023-04-22,Santa Hat,117,Saturday,South,Apparel
2023-04-22,Santa Hat,161,Saturday,South,Apparel
2023-04-22,Traditional Dhoti,117,Saturday,South,Clothing
2023-04-22,Water Gun (Pichkari),118,Saturday,East,Toys/Festival
2023-04-23,Kurta Pajama Set,62,Sunday,East,Clothing
2023-04-24,Waterproof Boots,137,Monday,Central,Footwear
2023-04-25,Brass Pot,132,Tuesday,North,Festival Utility
2023-04-26,White Kurtas,102,Wednesday,East,Clothing
2023-04-26,Agarbatti (Incense),104,Wednesday,South,Spiritual Item
2023-04-26,Water Gun (Pichkari),155,Wednesday,Central,Toys/Festival
2023-04-26,Pongal Sweet Pack,112,Wednesday,East,Sweets
2023-04-26,Rangoli Colors,144,Wednesday,East,Festival Utility
2023-04-27,Chocolate Gift Boxes,122,Thursday,East,Gifting
2023-04-27,Holi Colors,77,Thursday,Central,Festival Utility
2023-04-27,Water Gun (Pichkari),73,Thursday,South,Toys/Festival
2023-04-27,Umbrella,156,Thursday,West,Rain Gear
2023-04-28,Gift Boxes,26,Friday,Central,Gifting
2023-04-28,Sunscreen,81,Friday,South,Personal Care
2023-04-28,Onam Sadya Kit,141,Friday,North,Food Combo
2023-04-28,Holi Colors,127,Friday,West,Festival Utility
2023-04-28,Fan,135,Friday,North,Home Appliance
2023-04-28,Thermals,55,Friday,West,Clothing
2023-04-29,Onam Sadya Kit,62,Saturday,South,Food Combo
2023-04-29,Air Conditioner (AC),67,Saturday,West,Home Appliance
2023-04-29,White Kurtas,81,Saturday,East,Clothing
2023-04-30,White Kurtas,106,Sunday,West,Clothing
2023-04-30,Sweater,82,Sunday,West,Clothing
2023-05-01,White Clothing,52,Monday,North,Clothing
2023-05-01,Cold Drink,109,Monday,North,Beverage
2023-05-02,White Kurtas,118,Tuesday,North,Clothing
2023-05-02,Blanket,127,Tuesday,Central,Home Utility
2023-05-03,Personal Care Kit,127,Wednesday,South,Gifting
2023-05-03,Sugarcane Stick,99,Wednesday,Central,Food/Festival
2023-05-03,Mosquito Net,140,Wednesday,West,Home Utility
2023-05-03,Santa Hat,134,Wednesday,South,Apparel
2023-05-03,Deodorant (Dio),117,Wednesday,Central,Personal Care
2023-05-04,Fruit Cake,117,Thursday,South,Food
2023-05-04,Cold Drink,152,Thursday,East,Beverage
2023-05-04,Fruit Cake,97,Thursday,West,Food
2023-05-06,Ice Cream,72,Saturday,North,Dessert
2023-05-06,Water Gun (Pichkari),89,Saturday,North,Toys/Festival
2023-05-06,White Kurtas,120,Saturday,South,Clothing
2023-05-06,Brass Pot,118,Saturday,Central,Festival Utility
2023-05-06,White Kurtas,93,Saturday,Central,Clothing
2023-05-06,Personal Care Kit,46,Saturday,Central,Gifting
2023-05-07,Chocolate Gift Boxes,126,Sunday,East,Gifting
2023-05-08,Thermals,78,Monday,North,Clothing
2023-05-09,Lip Balm,101,Tuesday,Central,Personal Care
2023-05-09,Kurta Pajama Set,58,Tuesday,West,Clothing
2023-05-10,Gift Box,46,Wednesday,South,Gifting
2023-05-10,Umbrella,80,Wednesday,South,Rain Gear
2023-05-10,Dry Fruits,108,Wednesday,East,Gifting
2023-05-10,Ganesh Idol,107,Wednesday,West,Festival Utility
2023-05-11,White Kurtas,103,Thursday,North,Clothing
2023-05-11,Ganesh Idol,111,Thursday,South,Festival Utility
2023-05-11,Cold Drink,78,Thursday,Central,Beverage
2023-05-12,Thermals,87,Friday,Central,Clothing
2023-05-13,Pongal Sweet Pack,120,Saturday,South,Sweets
2023-05-13,Banana Chips Pack,136,Saturday,Central,Snack
2023-05-14,Personal Care Kit,119,Sunday,West,Gifting
2023-05-14,Pongal Sweet Pack,75,Sunday,East,Sweets
2023-05-15,LED String Lights,89,Monday,North,Home Decor
2023-05-15,Sugarcane Stick,77,Monday,Central,Food/Festival
2023-05-15,Ganesh Idol,101,Monday,East,Festival Utility
2023-05-15,Sunscreen,172,Monday,East,Personal Care
2023-05-15,Personal Care Kit,73,Monday,Central,Gifting
2023-05-16,Fan,89,Tuesday,North,Home Appliance
2023-05-16,Waterproof Boots,137,Tuesday,West,Footwear
2023-05-17,Water Gun (Pichkari),106,Wednesday,West,Toys/Festival
2023-05-18,Lip Balm,110,Thursday,South,Personal Care
2023-05-18,Rakhi Thread,104,Thursday,South,Festival Utility
2023-05-18,Pongal Sweet Pack,79,Thursday,East,Sweets
2023-05-19,Sweet Box,99,Friday,North,Sweets
2023-05-19,Hot Water Bag,46,Friday,North,Healthcare
2023-05-19,Lip Balm,92,Friday,West,Personal Care
2023-05-19,Lip Balm,69,Friday,East,Personal Care
2023-05-20,Odomos (mosquito repellent),82,Saturday,North,Personal Care
2023-05-20,Kurta Pajama Set,97,Saturday,West,Clothing
2023-05-20,Kurta Pajama Set,131,Saturday,West,Clothing
2023-05-21,Air Conditioner (AC),113,Sunday,Central,Home Appliance
2023-05-21,Water Bottle,132,Sunday,South,Kitchen Utility
2023-05-22,Ice Cream,113,Monday,East,Dessert
2023-05-22,White Clothing,111,Monday,North,Clothing
2023-05-24,Chocolate Box,146,Wednesday,West,Gifting/Sweets
2023-05-24,Lip Balm,98,Wednesday,Central,Personal Care
2023-05-25,Odomos (mosquito repellent),129,Thursday,West,Personal Care
2023-05-25,Personal Care Kit,136,Thursday,North,Gifting
2023-05-26,Sweater,47,Friday,South,Clothing
2023-05-26,Deodorant (Dio),81,Friday,North,Personal Care
2023-05-26,Rakhi Thread,79,Friday,South,Festival Utility
2023-05-26,Deodorant (Dio),154,Friday,East,Personal Care
2023-05-26,Personal Care Kit,156,Friday,West,Gifting
2023-05-27,Sweet Box,102,Saturday,South,Sweets
2023-05-27,Deodorant (Dio),59,Saturday,North,Personal Care
2023-05-28,Pongal Sweet Pack,106,Sunday,Central,Sweets
2023-05-28,Holi Colors,106,Sunday,North,Festival Utility
2023-05-28,Blanket,40,Sunday,North,Home Utility
2023-05-28,Chocolate Gift Boxes,74,Sunday,Central,Gifting
2023-05-28,Modak Box,86,Sunday,South,Sweets
2023-05-29,Modak Box,91,Monday,East,Sweets
2023-05-29,Cold Drink,85,Monday,East,Beverage
2023-05-29,Modak Box,97,Monday,East,Sweets
2023-05-29,Sugarcane Stick,78,Monday,South,Food/Festival
2023-05-30,Flower Garland,62,Tuesday,East,Festival Utility
2023-05-30,Chocolate Box,124,Tuesday,West,Gifting/Sweets
2023-05-31,Sewaiya Packets,85,Wednesday,Central,Sweets
2023-05-31,Traditional Dhoti,130,Wednesday,West,Clothing
2023-05-31,Body Oil,131,Wednesday,South,Personal Care
2023-06-01,Personal Care Kit,70,Thursday,East,Gifting
2023-06-01,Pongal Sweet Pack,137,Thursday,North,Sweets
2023-06-01,Odomos (mosquito repellent),97,Thursday,North,Personal Care
2023-06-02,Sweet Box,59,Friday,West,Sweets
2023-06-02,Ganesh Idol,118,Friday,West,Festival Utility
2023-06-02,Blanket,104,Friday,North,Home Utility
2023-06-02,Waterproof Boots,61,Friday,East,Footwear
2023-06-02,Agarbatti (Incense),116,Friday,West,Spiritual Item
2023-06-02,Water Bottle,75,Friday,East,Kitchen Utility
2023-06-03,Agarbatti (Incense),79,Saturday,North,Spiritual Item
2023-06-03,Deodorant (Dio),140,Saturday,West,Personal Care
2023-06-04,Thermals,58,Sunday,East,Clothing
2023-06-04,Ice Cream,132,Sunday,Central,Dessert
2023-06-04,Fan,94,Sunday,East,Home Appliance
2023-06-04,Odomos (mosquito repellent),138,Sunday,East,Personal Care
2023-06-04,Onam Sadya Kit,137,Sunday,North,Food Combo
2023-06-04,Sweet Box,114,Sunday,North,Sweets
2023-06-04,Holi Colors,107,Sunday,South,Festival Utility
2023-06-05,Gift Wrapping Paper,95,Monday,North,Festival Utility
2023-06-05,Umbrella,75,Monday,South,Rain Gear
2023-06-05,Sewaiya Packets,62,Monday,South,Sweets
2023-06-07,Raincoat,102,Wednesday,Central,Rain Gear
2023-06-07,Cold Drink,120,Wednesday,North,Beverage
2023-06-07,LED String Lights,100,Wednesday,East,Home Decor
2023-06-08,Electric Lights,89,Thursday,West,Home Decor
2023-06-08,Chocolate Box,96,Thursday,Central,Gifting/Sweets
2023-06-08,Gift Boxes,121,Thursday,South,Gifting
2023-06-08,White Kurtas,75,Thursday,West,Clothing
2023-06-08,White Kurtas,39,Thursday,North,Clothing
2023-06-09,Agarbatti (Incense),82,Friday,East,Spiritual Item
2023-06-09,Rangoli Colors,87,Friday,West,Festival Utility
2023-06-10,Rangoli Colors,75,Saturday,South,Festival Utility
2023-06-11,Kurta Pajama Set,180,Sunday,North,Clothing
2023-06-12,Water Gun (Pichkari),160,Monday,East,Toys/Festival
2023-06-12,Mithai Box,156,Monday,South,Sweets
2023-06-12,Thermals,125,Monday,South,Clothing
2023-06-13,Traditional Dhoti,105,Tuesday,South,Clothing
2023-06-14,Banana Chips Pack,83,Wednesday,East,Snack
2023-06-14,Odomos (mosquito repellent),93,Wednesday,West,Personal Care
2023-06-14,Hot Water Bag,103,Wednesday,North,Healthcare
2023-06-14,Personal Care Kit,84,Wednesday,West,Gifting
2023-06-16,Personal Care Kit,115,Friday,East,Gifting
